"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"168","3D9.1C2DDD4496",2016-03-30 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOSEPC(R),JOC(O)","JOC","4/11/2016 13:46:05","JOC"
"169","3D9.1C2DDD47A2",2016-05-26 15:57:08,7,"Lapwai","SWT","SWTA0","GRA, LAPB0, LAPA0, MISB0, MISA0, SWTA0, SWTB0, SWTA0, SWTB0, LAPA0, LAPB0","GRA(O),LAP(O),MIS(O),SWT(O),SWT(O),SWT(O),LAP(O)","LAP","5/30/2016 20:10:14","MIS"
"170","3D9.1C2DE112E3",2016-05-03 22:36:25,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWA0","GRA(O),CATHEC(R),UGR(O),CCW(O)","CCW","5/3/2016 22:36:25","CATHEC"
"171","3D9.1C2DE121EE",2016-04-19 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/20/2016 1:02:32","JOC"
"172","3D9.1C2DE12F74",2016-03-21 16:46:34,5,"Asotin","ACM","ACMA0","GRA, ACMA0","GEORGC(R),GRA(O),ACM(O)","ACM","3/21/2016 16:46:34","GEORGC"
"173","3D9.1C2DE13D10",2016-03-27 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOSEPC(R)","JOSEPC","3/27/2016 7:00:00","JOC"
"174","3D9.1C2DE13E2C",2016-04-11 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/11/2016 19:03:20","JOC"
"175","3D9.1C2DE71045",2016-05-16 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","5/17/2016 3:17:28","JOC"
"176","3DD.00773AA33B",2016-03-23 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCA0, JOSEPC","GRA(O),GRA(O),JOC(O),JOSEPC(R)","JOSEPC","3/23/2016 7:00:00","JOC"
"177","3DD.00773AB6CA",2016-03-17 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/17/2016 18:13:25","JOC"
"178","3DD.0077556D9F",2016-04-11 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCA0, JOSEPC, JOCA0, JOCB0","PRA(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/11/2016 18:42:18","JOC"
"179","3DD.00775DBF5C",2016-02-18 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","BO3(O),BO4(O),TD1(O),MC1(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),GRA(O),JOC(O),JOSEPC(R),JOSEPC(R),JOC(O)","JOC","4/14/2016 19:17:55","JOC"
