"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"1","3D9.1BF26FEFC8",2017-02-20 17:03:13,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","BO1(O),TD1(O),MC1(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),JOC(O),JOSEPC(R)","JOSEPC","2/20/2017 17:03:13","JOC"
"2","3D9.1C2E0A1823",2017-04-19 08:00:00,5,"Asotin","ASOTIC","ASOTIC","GRA, ACMA0, ASOTIC","BO1(O),TD1(O),MC1(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),GRA(O),ACM(O),ASOTIC(R)","ASOTIC","4/19/2017 8:00:00","ACM"
"3","3DD.00773E97B2",2017-04-30 05:38:28,15,"Lochsa","LRL","LRL","GRA, SW1, LRL","BO1(O),TD2(O),MC1(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),SW1(O),LRL(O)","LRL","4/30/2017 5:38:28","SW1"
"4","3DD.00775D1C58",2017-03-06 07:33:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOSEPC(R)","JOSEPC","3/6/2017 7:33:00","JOC"
"5","3DD.00775D2935",2017-04-09 16:11:55,7,"Lapwai","SWT","SWTA0","GRA, LAPB0, LAPA0, LAPB0, LAPA0, LAPB0, LAPA0, LAPB0, LAPA0, LAPB0, LAPA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, SWTB0, SWTA0, SWTB0, LAPA0, LAPB0","GRA(O),LAP(O),LAP(O),LAP(O),LAP(O),MIS(O),MIS(O),SWT(O),LAP(O)","LAP","4/9/2017 23:44:22","MIS"
"6","3DD.00775D2B31",2017-11-27 23:10:16,16,"Selway","SW1","SW1","GRA, SW1","GRA(O),BO3(O),BO4(O),TD1(O),JDALD1(R),MC1(O),ICH(O),LMA(O),GOA(O),SW1(O),SW2(O)","SW2","11/28/2017 9:49:27","SW2"
"7","3DD.00775D7871",2017-04-02 20:16:31,10,"CowCreek","COC","COCA0","GRA, IR1, IR2, COCA0, COCB0","GRA(O),IR1(O),IR2(O),COC(O)","COC","4/2/2017 21:11:34","IR2"
"8","3DD.00775D7F82",2017-04-25 23:04:29,26,"UpperSalmon","STL","STL","GRA, USE, STL","GRA(O),USE(O),STL(O),SAWT(R)","SAWT","4/26/2017 22:00:00","SAWT"
"9","3DD.00775D83CA",2017-05-12 16:05:02,11,"ImnahaRiver","CZY","CZYA0","GRA, IR1, IR2, IR4A0, IR5A0, IR5B0, IR5A0, IR4A0, IR5B0, IR5A0, IR4B0, CZYB0, CZYA0, CZYB0","GRA(O),IR1(O),IR2(O),IR4(O),IR5(O),IR4(O),IR5(O),IR5(O),IR5(O),IR5(O),IR4(O),CZY(O)","CZY","5/12/2017 16:05:13","IR4"
"10","3DD.00775D9019",2017-03-04 10:58:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOSEPC(R)","JOSEPC","3/4/2017 10:58:00","JOC"
"11","3DD.00775DAD89",2017-04-02 19:10:29,26,"UpperSalmon","YFK","YFKA0","GRA, USE, YFKA0","GRA(O),USE(O),YFK(O),CEY(O)","CEY","4/20/2017 1:34:29","CEY"
"12","3DD.00775DD33E",2017-03-07 07:42:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","5/3/2017 2:26:55","JOC"
"13","3DD.00775DE1F7",2017-04-14 17:36:05,15,"Lochsa","LRL","LRL","GRA, SW1, LRL","GRA(O),SW1(O),LRL(O)","LRL","4/14/2017 17:36:05","SW1"
"14","3DD.00775E0DA0",2017-03-11 09:00:00,5,"Asotin","ASOTIC","ASOTIC","GRA, ACMA0, ASOTIC","GRA(O),ACM(O),ASOTIC(R)","ASOTIC","3/11/2017 9:00:00","ACM"
"15","3DD.00775E1017",2017-05-26 15:35:22,21,"SFSalmon","ZEN","ZENB0","GRA, SFG, KRS, ZENB0","GRA(O),SFG(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),KRS(O),ZEN(O),ZEN(O)","ZEN","5/28/2017 12:15:08","KRS"
"16","3DD.00775E3739",2017-04-26 16:08:38,26,"UpperSalmon","STL","STL","GRA, USE, STL","GRA(O),USE(O),STL(O),SAWT(R)","SAWT","4/26/2017 22:00:00","SAWT"
"17","3DD.00775E0DCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
