"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"1","384.3B239AD6DA",2016-05-30 13:00:00,19,"GrandeRonde","CATHEW","CATHEW","GRA, UGR, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CATHEW","CATHEC(R),BO1(O),TD1(O),MC1(O),MC1(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),UGR(O),CATHEW(R),CCW(O),CCW(O),CCW(O)","CCW","5/29/2016 19:19:48","CCW"
"2","384.3B23AB4316",2016-08-26 18:24:35,11,"ImnahaRiver","IR5","IR5B0","GRA, IR1, IR2, IR3B0, IMLB0, IMLA0, IMNAHW, IR5B0, IMNAHW","IR1(O),BO1(O),TD1(O),MC1(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),GRA(O),IR1(O),IR2(O),IR3(O),IMNAHW(R),IML(O),IR5(O),IMNAHW(M)","IMNAHW","8/27/2016 13:00:00","IMNAHW"
"3","3D9.1C2DDC2F83",2016-08-31 14:31:39,11,"ImnahaRiver","IR5","IR5A0","GRA, IR2, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IMLB0, IMLA0, IMNAHW, IR5B0, IR5A0, IR5B0, IR5A0, IR5B0, IR5A0, IR5B0, IR5A0, IR5B0, IR5A0, IR5B0, IR5A0, IR5B0, IR5A0, IR4A0, IR4B0","GRA(O),IR2(O),IMNAHW(R),IR4(O),IR4(O),IML(O),IR5(O),IR5(O),IR5(O),IR4(O)","IR4","9/6/2016 14:41:29","IR4"
"4","3D9.1C2DDC34B2",2016-07-15 17:32:08,21,"SFSalmon","ZEN","ZENA0","GRA, ZENB0, ZENA0","GRA(O),ZEN(O),GROUSC(M)","GROUSC","8/15/2016 0:00:00","GROUSC"
"5","3D9.1C2DDC3BC8",2016-06-29 00:00:00,21,"SFSalmon","MCCA","STR","GRA, STR","GRA(O),MCCA(R)","MCCA","6/16/2016 12:00:00",NA
"6","3D9.1C2DDC3C54",2016-08-16 00:00:00,22,"BigCreek","BIG2C","TAYA0","GRA, TAYB0, TAYA0","GRA(O),TAY(O),BIG2C(M)","BIG2C","8/16/2016 0:00:00","TAY"
"7","3D9.1C2DDC3DE8",2016-06-24 20:58:26,19,"GrandeRonde","CCW","CCWB0","GRA, UGR, CCWB0","GRA(O),UGR(O),CCW(O)","CCW","6/24/2016 20:58:26","UGR"
"8","3D9.1C2DDC3F9B",2016-06-26 00:00:00,26,"UpperSalmon","SAWT","STL","GRA, USE, STL","GRA(O),USE(O),SAWT(R),STL(O)","STL","6/26/2016 3:48:38","STL"
"9","3D9.1C2DDC45F8",2016-06-12 12:42:44,26,"UpperSalmon","USI","USI","GRA, USE, USI","GRA(O),USE(O),USI(O),SALREF(M)","SALREF","9/1/2016 12:07:00","SALREF"
"10","3D9.1C2DDC4792",2016-06-29 16:55:09,11,"ImnahaRiver","IML","IMLA0","GRA, IR2, IMLB0, IMLA0","GRA(O),IR2(O),IML(O)","IML","6/29/2016 16:58:35","IR2"
"11","3D9.1C2DDC5030",2016-08-24 10:21:30,11,"ImnahaRiver","IR5","IR5A0","GRA, IR1, IR4B0, IR4A0, IMLB0, IMLA0, IR5B0, IR5A0, IMNAHW, IR5A0, IR5B0, IMNAHW","GRA(O),IR1(O),IMNAHW(R),IR4(O),IML(O),IR5(O),IR5(O),IMNAHW(M)","IMNAHW","9/7/2016 13:00:00","IMNAHW"
"12","3D9.1C2DDC5B00",2016-08-29 00:00:00,21,"SFSalmon","MCCA","STR","GRA, KRS, STR","GRA(O),MCCA(R),KRS(O)","KRS","6/25/2016 5:04:06","KRS"
"13","3D9.1C2DDC5DF9",2016-07-18 13:47:36,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IMLB0, IMLA0","GRA(O),IR1(O),IML(O)","IML","7/18/2016 13:47:36","IR1"
"14","3D9.1C2DDC646D",2016-06-21 18:14:35,21,"SFSalmon","ZEN","ZENA0","GRA, ZENB0, ZENA0","GRA(O),ZEN(O),SUMITC(M)","SUMITC","8/23/2016 0:00:00","SUMITC"
"15","3D9.1C2DDC6766",2016-06-29 19:04:46,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IMLB0, IMLA0","GRA(O),IR1(O),IML(O)","IML","6/29/2016 19:06:40","IR1"
"16","3D9.1C2DDC6C0B",2016-09-02 17:11:18,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IR3B0, IR4B0, IR4A0, IR4B0, IR4A0, IMLB0, IMLA0","GRA(O),IR1(O),IR3(O),IR4(O),IML(O)","IML","9/2/2016 17:11:18","IR4"
"17","3D9.1C2DDC6F5F",2016-09-02 00:00:00,21,"SFSalmon","MCCA","STR","GRA, STR","GRA(O),MCCA(R)","MCCA","6/16/2016 12:00:00",NA
"18","3D9.1C2DDC71F7",2016-06-29 19:38:02,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IMLB0, IMLA0","GRA(O),IR1(O),IML(O)","IML","6/29/2016 19:38:02","IR1"
"19","3D9.1C2DDC7953",2016-08-21 00:00:00,26,"UpperSalmon","SAWT","STL","GRA, USE, STL","GRA(O),USE(O),SAWT(R),STL(O)","STL","8/21/2016 1:31:56","STL"
"20","3D9.1C2DDC7993",2016-07-03 07:56:08,21,"SFSalmon","ZEN","ZENA0","GRA, ZENB0, ZENA0","GRA(O),ZEN(O),GROUSC(M)","GROUSC","8/29/2016 0:00:00","GROUSC"
"21","3D9.1C2DDC7A9D",2016-07-01 00:00:00,21,"SFSalmon","MCCA","STR","GRA, SFG, STR","GRA(O),SFG(O),MCCA(R)","MCCA","6/16/2016 12:00:00","SFG"
"22","3D9.1C2DDC8AE4",2016-07-05 21:12:40,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IR2, IMLB0, IMLA0","GRA(O),IR1(O),IR2(O),IML(O)","IML","7/5/2016 21:18:04","IR2"
"23","3D9.1C2DDC8EFC",2016-06-21 03:14:47,26,"UpperSalmon","VC2","VC2","GRA, USE, VC2, STL, VC2","GRA(O),USE(O),VC2(O),STL(O),STL(O),STL(O),VC2(O),VC2(O)","VC2","9/6/2016 2:12:53","STL"
"24","3D9.1C2DDC94D9",2016-07-06 04:40:20,26,"UpperSalmon","STL","STL","GRA, USE, USI, STL","GRA(O),USE(O),USI(O),STL(O),STL(O),SAWT(R),SALR4(M)","SALR4","9/7/2016 0:00:00","SAWT"
"25","3D9.1C2DDC96C9",2016-08-23 00:00:00,21,"SFSalmon","MCCA","STR","GRA, TAYB0, TAYA0, TAYB0, SFG, KRS, STR","GRA(O),MCCA(R),TAY(O),SFG(O),KRS(O)","KRS","7/7/2016 11:04:23","TAY"
"26","3D9.1C2DDC9A83",2016-09-06 00:00:00,21,"SFSalmon","MCCA","STR","GRA, SFG, STR","MCCA(R),GRA(O),SFG(O),SALRSF(M)","SALRSF","9/12/2016 12:00:00","SFG"
