SiteID,Node
ROZ,Below_GRA_Obs
RPJ,RAPH
RRF,Below_GRA_Obs
RRJ,Below_GRA_Obs
RRT,AB_SC2
RSB,Below_GRA_Obs
RSH,Below_GRA_Obs
RVP,Below_GRA_Obs
RZF,Below_GRA_Obs
S2I,AB_LLR
S2O,AB_LLR
SA0,Below_GRA_Obs
SA1,Below_GRA_Obs
SAJ,SALMON_OBS
SAT,Below_GRA_Obs
SC1,SC1
SC2,SC2
SCL,Below_GRA_Obs
SCP,Below_GRA_Obs
SFG,SFG
SFL,Below_GRA_Obs
SGP,Below_GRA_Obs
SHK,Below_GRA_Obs
SHP,Below_GRA_Obs
SIP,Below_GRA_Obs
SJ1,Below_GRA_Obs
SJ2,Below_GRA_Obs
SKA,Below_GRA_Obs
SND,Below_GRA_Obs
SNJ,SNAKE_OBS
SR1,Below_GRA_Obs
SR2,Below_GRA_Obs
SSC,Below_GRA_Obs
SSJ,Below_GRA_Obs
STL,STL_A0
STL,STL_B0
STR,STR_A0
STR,STR_B0
SUC,Below_GRA_Obs
SUJ,Below_GRA_Obs
SUN,Below_GRA_Obs
SW1,SW1
SW2,SW2
SWC,Below_GRA_Obs
SWK,Below_GRA_Obs
SWT,SWTA0
SWT,SWTB0
TAN,Below_GRA_Obs
TAY,TAYA0
TAY,TAYB0
TC4,Below_GRA_Obs
TCM,Below_GRA_Obs
TCT,Below_GRA_Obs
TD1,Below_GRA_Obs
TD2,Below_GRA_Obs
TFH,AB_UTR
TLT,Below_GRA_Obs
TMA,Below_GRA_Obs
TMF,Below_GRA_Obs
TMJ,Below_GRA_Obs
TNK,Below_GRA_Obs
TON,Below_GRA_Obs
TOP,Below_GRA_Obs
TR1,Below_GRA_Obs
TR2,Below_GRA_Obs
TRC,Below_GRA_Obs
TUF,Below_GRA_Obs
TWR,Below_GRA_Obs
TWX,Below_GRA_Obs
TY1,Below_GRA_Obs
TY2,Below_GRA_Obs
TY3,Below_GRA_Obs
TY4,Below_GRA_Obs
UCT,Below_GRA_Obs
UGR,UGR
UGS,UGSA0
UGS,UGSB0
UM1,Below_GRA_Obs
UM2,Below_GRA_Obs
UMC,Below_GRA_Obs
UMF,Below_GRA_Obs
UMR,Below_GRA_Obs
UMT,Below_GRA_Obs
UMW,Below_GRA_Obs
UNT,Below_GRA_Obs
UPT,Below_GRA_Obs
URT,Below_GRA_Obs
USE,USE
USI,USI
UTR,UTRA0
UTR,UTRB0
UWE,Below_GRA_Obs
VC1,AB_VC2
VC2,VC2
VC2,VC2A0
VC2,VC2B0
WAJ,Below_GRA_Obs
WAN,Below_GRA_Obs
WEA,Below_GRA_Obs
WEB,WEBA0
WEB,WEBB0
WEH,Below_GRA_Obs
WEJ,Below_GRA_Obs
WEN,WENA0
WEN,WENB0
WFC,Below_GRA_Obs
WFF,Below_GRA_Obs
WHC,Below_GRA_Obs
WHS,Below_GRA_Obs
WL1,Below_GRA_Obs
WL2,Below_GRA_Obs
WLT,Below_GRA_Obs
WPC,WPCA0
WPC,WPCB0
WPJ,Below_GRA_Obs
WPT,Below_GRA_Obs
WR1,WR1
WR2,WR2A0
WR2,WR2B0
WRP,Below_GRA_Obs
WRU,Below_GRA_Obs
WSH,Below_GRA_Obs
WSR,Below_GRA_Obs
WTL,Below_GRA_Obs
WW1,Below_GRA_Obs
WW2,Below_GRA_Obs
Y1J,Below_GRA_Obs
YFK,YFKA0
YFK,YFKB0
YHC,Below_GRA_Obs
YPP,YPPA0
YPP,YPPB0
ZEN,ZENA0
ZEN,ZENB0
ZSL,Below_GRA_Obs
RFA,RFA
RFB,RFB
TRB,TRB
TST,TST
WE1,Below_GRA_Obs
WE2,Below_GRA_Obs
15MILC,Below_GRA_Obs
1890SC,Below_GRA_Obs
18MILC,AB_18M
21MILC,Below_GRA_Obs
30MILC,Below_GRA_Obs
30ML2C,Below_GRA_Obs
3LINKC,AB_SW2
3MILC,Below_GRA_Obs
3MILIS,Below_GRA_Obs
4JUL2C,SALMON_OBS
4JULYC,AB_SWT
9MILEC,Below_GRA_Obs
ABEH,Below_GRA_Obs
ABERC,Below_GRA_Obs
AENEAC,Below_GRA_Obs
AGNCYC,AB_AGC
AHSH,Below_GRA_Obs
AHTANC,Below_GRA_Obs
AHTANF,Below_GRA_Obs
AHTASF,AHTASF
ALEXC,AB_ZEN
ALMOTC,ALMOTC
ALPOWC,ALPOWC
ALTULC,AB_SWT
ALTURL,AB_SWT
AMERIR,Below_GRA_Obs
AMERR,AB_SC2
ANTELC,Below_GRA_Obs
ANTOIC,Below_GRA_Obs
APROOK,Below_GRA_Obs
ASOTIC,ASOTIC
ASOTNF,AB_AFC
ASOTSF,AB_AFC
BAD,Below_GRA_Obs
BADGEI,Below_GRA_Obs
BAKEOC,Below_GRA_Obs
BANKSL,Below_GRA_Obs
BARGAC,SALMON_OBS
BARNAC,Below_GRA_Obs
BASINC,AB_HYC
BASN2C,AB_BTU
BASN3C,AB_YNK
BBC,Below_GRA_Obs
BBCTRP,BBCTRP
BCANF,AB_WR1
BCCAP,CLEARWATER_OBS
BCHINL,Below_GRA_Obs
BCKHRC,AB_KRS
BCKROC,Below_GRA_Obs
BCL,Below_GRA_Obs
BCLFBY,Below_GRA_Obs
BCLTAL,Below_GRA_Obs
BCTRAP,Below_GRA_Obs
BEAR2C,Below_GRA_Obs
BEAR3C,Below_GRA_Obs
BEAR4C,AB_SALSFW
BEAR5C,Below_GRA_Obs
BEARC,AB_SW2
BEARVC,AB_BRC
BEAV2C,Below_GRA_Obs
BEAV3C,Below_GRA_Obs
BEAV3P,Below_GRA_Obs
BEAV4C,AB_TAY
BEAVC,MFSR_OBS
BEAVEC,AB_SWT
BEDRKC,CLEARWATER_OBS
BEECEF,Below_GRA_Obs
BEECHC,Below_GRA_Obs
BERRYC,Below_GRA_Obs
BGMTAL,Below_GRA_Obs
BIDDLP,Below_GRA_Obs
BIG1C,Below_GRA_Obs
BIG2C,AB_TAY
BIG2CT,AB_TAY
BIG3C,Below_GRA_Obs
BIG8MC,BIG8MC
BIGB2C,AB_LRW
BIGBEC,AB_BBA
BIGC,Below_GRA_Obs
BIGCAC,CLEARWATER_OBS
BIGFLC,AB_LRU
BIGMAC,SALMON_OBS
BIGMEC,Below_GRA_Obs
BIGSPC,AB_LBS
BIGWSP,Below_GRA_Obs
BIRCHC,Below_GRA_Obs
BIRCHE,Below_GRA_Obs
BIRCHW,Below_GRA_Obs
BLDRCK,Below_GRA_Obs
BLDRNF,Below_GRA_Obs
BLDRSF,Below_GRA_Obs
BLKBAS,Below_GRA_Obs
BLNDSL,Below_GRA_Obs
BLUEC,Below_GRA_Obs
BO1BYP,Below_GRA_Obs
BO1GWL,Below_GRA_Obs
BO2BCC,Below_GRA_Obs
BO2BYP,Below_GRA_Obs
BO2GAT,Below_GRA_Obs
BO2GWL,Below_GRA_Obs
BO2ORI,Below_GRA_Obs
BO2RRR,Below_GRA_Obs
BOBSC,AB_JUL
BOHANC,AB_BHC
BOHEFC,AB_BHC
BON,Below_GRA_Obs
BONAFF,Below_GRA_Obs
BONAPC,Below_GRA_Obs
BONH,Below_GRA_Obs
BONLD1,Below_GRA_Obs
BONLD2,Below_GRA_Obs
BONLD3,Below_GRA_Obs
BONMRT,Below_GRA_Obs
BONP,Below_GRA_Obs
BOSTCC,Below_GRA_Obs
BOUL2C,SALMON_OBS
BOUL3C,AB_JUL
BOULDC,AB_LRU
BOUNDC,MFSR_OBS
BOUTRP,AB_LRU
BRAMYC,AB_TAY
BRDG2C,Below_GRA_Obs
BRDG3C,Below_GRA_Obs
BREITR,Below_GRA_Obs
BRENNC,Below_GRA_Obs
BRIDGC,Below_GRA_Obs
BRIDWB,Below_GRA_Obs
BRUS2C,Below_GRA_Obs
BRUSHC,AB_LRU
BSHEEC,AB_BSC
BSHPCK,Below_GRA_Obs
BTIMBC,BTIMBC
BUCK2C,AB_TAY
BUCK3C,Below_GRA_Obs
BUCK4C,AB_HYC
BUCKAP,Below_GRA_Obs
BUCKC,Below_GRA_Obs
BUCKHC,Below_GRA_Obs
BUCKSL,Below_GRA_Obs
BUMPR,Below_GRA_Obs
BURL,Below_GRA_Obs
BURNLC,AB_JOHNSC
BUTCHC,Below_GRA_Obs
BUTCHP,Below_GRA_Obs
BVAL2C,AB_HYC
BVRLYI,Below_GRA_Obs
CABINC,AB_TAY
CABLNF,Below_GRA_Obs
CALAPR,Below_GRA_Obs
CAMASC,MFSR_OBS
CAMP2C,Below_GRA_Obs
CAMP3C,AB_KRS
CAMP4C,AB_CMP
CAMPC,Below_GRA_Obs
CANALC,AB_LSHEEF
CANDLC,Below_GRA_Obs
CANY2C,AB_CAC
CANY3C,Below_GRA_Obs
CANY4C,Below_GRA_Obs
CANYOC,CANYOC
CAPEHC,MFSR_OBS
CARMEC,AB_CRC
CARP,Below_GRA_Obs
CARS,Below_GRA_Obs
CASC,Below_GRA_Obs
CASS,Below_GRA_Obs
CATCMF,AB_CCW
CATCNF,AB_CCW
CATCSF,AB_CCW
CATHEC,SNAKE_OBS
CATHEP,AB_CCW
CATHEW,CATHEW
CAVEC,AB_TAY
CBD,Below_GRA_Obs
CBDFBY,Below_GRA_Obs
CBLAIS,Below_GRA_Obs
CEDA2C,AB_JUL
CEDARC,Below_GRA_Obs
CEFLAF,AB_SW1
CFCT,Below_GRA_Obs
CFCTRP,AB_LRU
CFDNSC,Below_GRA_Obs
CFDSF2,Below_GRA_Obs
CFDSF3,Below_GRA_Obs
CFDTAL,Below_GRA_Obs
CGR,Below_GRA_Obs
CGRTAL,Below_GRA_Obs
CHALLC,AB_USI
CHAMBC,SALMON_OBS
CHAMPC,AB_SWT
CHAMWF,SALMON_OBS
CHANDL,Below_GRA_Obs
CHARLC,AB_CCA
CHEL,Below_GRA_Obs
CHELAR,Below_GRA_Obs
CHEWEC,Below_GRA_Obs
CHEWUP,Below_GRA_Obs
CHEWUR,Below_GRA_Obs
CHFARF,Below_GRA_Obs
CHIKAC,Below_GRA_Obs
CHINOR,Below_GRA_Obs
CHIP,Below_GRA_Obs
CHIW,Below_GRA_Obs
CHIWAC,Below_GRA_Obs
CHIWAR,Below_GRA_Obs
CHIWAT,Below_GRA_Obs
CHJO,Below_GRA_Obs
CHUMSC,Below_GRA_Obs
CISPUR,Below_GRA_Obs
CJRAP,SNAKE_OBS
CLARFP,Below_GRA_Obs
CLCKMS,Below_GRA_Obs
CLEA2C,Below_GRA_Obs
CLEA3C,Below_GRA_Obs
CLEARC,AB_CLC
CLEARP,Below_GRA_Obs
CLEBYP,Below_GRA_Obs
CLEE,Below_GRA_Obs
CLEFBY,Below_GRA_Obs
CLELMD,Below_GRA_Obs
CLELMR,Below_GRA_Obs
CLETAL,Below_GRA_Obs
CLRBIS,CLRBIS
CLRBR,Below_GRA_Obs
CLWH,CLEARWATER_OBS
CLWHNF,CLEARWATER_OBS
CLWR,CLEARWATER_OBS
CLWRMF,CLEARWATER_OBS
CLWRNF,CLEARWATER_OBS
CLWRSF,CLEARWATER_OBS
CLWTRP,CLEARWATER_OBS
COLR,COLR
COLR1,Below_GRA_Obs
COLR2,Below_GRA_Obs
COLR3,Below_GRA_Obs
COLR4,Below_GRA_Obs
COLR5,Below_GRA_Obs
COLR6,Below_GRA_Obs
COLR7,Below_GRA_Obs
COLR8,Below_GRA_Obs
COLR9,Below_GRA_Obs
COLTC,AB_LRU
COLTKC,AB_LRU
COLVLE,Below_GRA_Obs
COONSC,Below_GRA_Obs
COPPEC,Below_GRA_Obs
CORRAC,AB_JUL
COTN2C,Below_GRA_Obs
COTNWC,CLEARWATER_OBS
COTP,SNAKE_OBS
COTTWC,Below_GRA_Obs
COUG2C,AB_HLM
COUGRC,SNAKE_OBS
COULTC,Below_GRA_Obs
COULTP,Below_GRA_Obs
COW2C,AB_AGC
COWCR,AB_COC
COWEAP,Below_GRA_Obs
COWEER,Below_GRA_Obs
COWICC,Below_GRA_Obs
COWISF,Below_GRA_Obs
COWLR1,Below_GRA_Obs
COWLR2,Below_GRA_Obs
COWS,Below_GRA_Obs
COWT,Below_GRA_Obs
COYO2C,Below_GRA_Obs
COYOTC,Below_GRA_Obs
CRABP,Below_GRA_Obs
CRAZYC,AB_CZY
CRESCB,Below_GRA_Obs
CRESIS,Below_GRA_Obs
CROO2C,AB_TAY
CROOC,SALMON_OBS
CROOK1,Below_GRA_Obs
CROOKC,AB_LRU
CROOKP,AB_SC2
CROOKR,AB_SC2
CROP,AB_SC2
CROTRP,AB_SC2
CROW,AB_SC2
CROWC,Below_GRA_Obs
CRTRAP,Below_GRA_Obs
CRUIKS,AB_CAC
CTWD3C,SNAKE_OBS
CUBC,Below_GRA_Obs
CUNNSL,Below_GRA_Obs
CURP,AB_UTR
DAGGEC,MFSR_OBS
DAVISC,Below_GRA_Obs
DAYP,Below_GRA_Obs
DEAD2C,Below_GRA_Obs
DEAD3C,Below_GRA_Obs
DEADMC,AB_LRU
DEADNF,Below_GRA_Obs
DECKEC,AB_SWT
DEEPCK,Below_GRA_Obs
DEERC,AB_LRW
DESCH1,Below_GRA_Obs
DESCH2,Below_GRA_Obs
DET,Below_GRA_Obs
DETFBY,Below_GRA_Obs
DETTAL,Below_GRA_Obs
DEX,Below_GRA_Obs
DEXTAL,Below_GRA_Obs
DHORNC,Below_GRA_Obs
DILACC,Below_GRA_Obs
DISOWN,DISOWN
DOGRVR,Below_GRA_Obs
DRANOL,Below_GRA_Obs
DRIFTC,Below_GRA_Obs
DRNP,Below_GRA_Obs
DRY,Below_GRA_Obs
DRY2C,DRY2C
DRY3C,Below_GRA_Obs
DRYC,Below_GRA_Obs
DRYFBY,Below_GRA_Obs
DRYFCC,Below_GRA_Obs
DRYP,Below_GRA_Obs
DRYTAL,Below_GRA_Obs
DUNCAN,Below_GRA_Obs
DWOR,CLEARWATER_OBS
DWORMS,CLEARWATER_OBS
DWORNF,CLEARWATER_OBS
EAG2NF,Below_GRA_Obs
EAGH,Below_GRA_Obs
EAGL,EAGL
EAGL2C,Below_GRA_Obs
EAGLEC,AB_SW2
EARLWC,Below_GRA_Obs
EASTOP,Below_GRA_Obs
EBNK,Below_GRA_Obs
EDEERC,Below_GRA_Obs
EFHORC,Below_GRA_Obs
EFPTRP,EFPTRP
EFPW,EFPW
EIGH2C,Below_GRA_Obs
EIGHTC,Below_GRA_Obs
ELDORC,AB_LC2
ELK2C,AB_SFG
ELK3C,AB_USI
ELKC,MFSR_OBS
ELRH,Below_GRA_Obs
ENTH,Below_GRA_Obs
ENTIAR,Below_GRA_Obs
ENTRTP,Below_GRA_Obs
ESANIS,Below_GRA_Obs
ETIENC,Below_GRA_Obs
FAL,Below_GRA_Obs
FALL2C,Below_GRA_Obs
FALLC,MFSR_OBS
FALTAL,Below_GRA_Obs
FDDFBY,Below_GRA_Obs
FDDTAL,Below_GRA_Obs
FEATHC,AB_HLM
FEEDCN,Below_GRA_Obs
FIRSTC,Below_GRA_Obs
FISHC,AB_FISTRP
FISHEC,AB_SWT
FISTRP,FISTRP
FITSUC,AB_SFG
FIVE2C,Below_GRA_Obs
FIVEMC,AB_SC2
FLATC,AB_ZEN
FLOSSC,SALMON_OBS
FLUMEC,AB_AGC
FOGDEW,Below_GRA_Obs
FOSFBY,Below_GRA_Obs
FOSTAL,Below_GRA_Obs
FOSTC,Below_GRA_Obs
FOUNDI,Below_GRA_Obs
FOXC,Below_GRA_Obs
FREEZC,FREEZC
FRENCC,AB_SWT
FRENCH,SALMON_OBS
GABLEC,Below_GRA_Obs
GATEC,Below_GRA_Obs
GEDCWF,AB_SW2
GEDNEC,AB_SW2
GEECR,Below_GRA_Obs
GEORGC,GEORGC
GERMC,Below_GRA_Obs
GOATC,AB_KRS
GOATWP,Below_GRA_Obs
GOLD2C,Below_GRA_Obs
GOLD3C,Below_GRA_Obs
GOLD4C,Below_GRA_Obs
GOLDC,AB_SWT
GOOS2I,Below_GRA_Obs
GOOSEI,Below_GRA_Obs
GRAND1,SNAKE_OBS
GRAND2,SNAKE_OBS
GRANDP,GRANDP
GRANDR,GRANDR
GRANDW,GRANDW
GRAYH,Below_GRA_Obs
GRAYSR,Below_GRA_Obs
GRBLDC,Below_GRA_Obs
GREENR,Below_GRA_Obs
GREEPC,Below_GRA_Obs
GRNTRP,SNAKE_OBS
GROUSC,AB_ZEN
GUMBTC,GUMBTC
HADENC,Below_GRA_Obs
HADESF,Below_GRA_Obs
HAGE,HAGE
HALLC,Below_GRA_Obs
HANGC,Below_GRA_Obs
HANSPC,Below_GRA_Obs
HANTWN,Below_GRA_Obs
HANWTB,Below_GRA_Obs
HARDC,SALMON_OBS
HATRCK,Below_GRA_Obs
HAWLYC,AB_HEC
HAYDEF,HAYDEF
HAYDNC,AB_HYC
HAYNSC,AB_LLR
HAZARC,SALMON_OBS
HCD,SNAKE_OBS
HCDTAL,SNAKE_OBS
HCR,Below_GRA_Obs
HCRFBY,Below_GRA_Obs
HCRREG,Below_GRA_Obs
HCRTUR,Below_GRA_Obs
HELLRC,AB_SWT
HERDC,AB_USI
HERMAC,Below_GRA_Obs
HINDOC,Below_GRA_Obs
HLK,Below_GRA_Obs
HLKTAL,Below_GRA_Obs
HOGIS,HOGIS
HOODEF,Below_GRA_Obs
HOODMF,Below_GRA_Obs
HOODR,Below_GRA_Obs
HOODWF,Below_GRA_Obs
HORS2C,Below_GRA_Obs
HORS3C,HORS3C
HORSEC,SALMON_OBS
HUCKLC,AB_SWT
HUNGC,AB_FISTRP
HYDTRP,AB_HYC
I-90B,Below_GRA_Obs
ICICLC,Below_GRA_Obs
ICTRAP,Below_GRA_Obs
IHR,Below_GRA_Obs
IHRBYP,Below_GRA_Obs
IHRCOL,Below_GRA_Obs
IHRSPF,Below_GRA_Obs
IHRSPL,Below_GRA_Obs
IHRTAL,Below_GRA_Obs
IHRTRB,Below_GRA_Obs
IMNAHR,SNAKE_OBS
IMNAHW,IMNAHW
IMNTRP,SNAKE_OBS
IMQP,Below_GRA_Obs
INDI2C,Below_GRA_Obs
INDIAC,MFSR_OBS
INDINC,Below_GRA_Obs
INKANC,Below_GRA_Obs
IRON2C,Below_GRA_Obs
IRONC,AB_USI
IRRI,Below_GRA_Obs
IS18,Below_GRA_Obs
JACK2C,Below_GRA_Obs
JACKC,Below_GRA_Obs
JACKCP,Below_GRA_Obs
JACKSC,CLEARWATER_OBS
JDA,Below_GRA_Obs
JDABYP,Below_GRA_Obs
JDACOL,Below_GRA_Obs
JDAFBY,Below_GRA_Obs
JDAGAT,Below_GRA_Obs
JDAGWL,Below_GRA_Obs
JDALD1,Below_GRA_Obs
JDALD2,Below_GRA_Obs
JDAMRT,Below_GRA_Obs
JDAR,JDAR
JDAR1,Below_GRA_Obs
JDAR2,Below_GRA_Obs
JDARMF,Below_GRA_Obs
